Столбец1;Столбец2;Столбец3;Столбец4;Столбец5;Столбец6;Столбец7;Столбец8;Столбец9;Столбец10;Столбец11;Столбец12;score
'min_child_weight': 1.0; 'n_estimators': 401.0; 'silent': 1; 'nthread': 6; 'gamma': 0.6000000000000001; 'max_depth': 5; 'eta': 0.125; 'subsample': 0.7000000000000001; 'num_class': 5; 'colsample_bytree': 0.65; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.562559694364852
'min_child_weight': 2.0; 'n_estimators': 102.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8500000000000001; 'max_depth': 2; 'eta': 0.35000000000000003; 'subsample': 0.5; 'num_class': 5; 'colsample_bytree': 0.6000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.562559694364852
'min_child_weight': 5.0; 'n_estimators': 693.0; 'silent': 1; 'nthread': 6; 'gamma': 0.9500000000000001; 'max_depth': 7; 'eta': 0.2; 'subsample': 0.75; 'num_class': 5; 'colsample_bytree': 0.7000000000000001; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5616045845272206
'min_child_weight': 6.0; 'n_estimators': 377.0; 'silent': 1; 'nthread': 6; 'gamma': 0.55; 'max_depth': 3; 'eta': 0.325; 'subsample': 0.9500000000000001; 'num_class': 5; 'colsample_bytree': 0.55; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5616045845272206
'min_child_weight': 1.0; 'n_estimators': 167.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8500000000000001; 'max_depth': 9; 'eta': 0.4; 'subsample': 0.8500000000000001; 'num_class': 5; 'colsample_bytree': 0.55; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5616045845272206
'min_child_weight': 4.0; 'n_estimators': 274.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8; 'max_depth': 9; 'eta': 0.125; 'subsample': 0.65; 'num_class': 5; 'colsample_bytree': 0.5; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5616045845272206
'min_child_weight': 2.0; 'n_estimators': 459.0; 'silent': 1; 'nthread': 6; 'gamma': 0.5; 'max_depth': 10; 'eta': 0.45; 'subsample': 1.0; 'num_class': 5; 'colsample_bytree': 0.65; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5606494746895893
'min_child_weight': 3.0; 'n_estimators': 947.0; 'silent': 1; 'nthread': 6; 'gamma': 0.8; 'max_depth': 9; 'eta': 0.35000000000000003; 'subsample': 0.65; 'num_class': 5; 'colsample_bytree': 0.9; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5606494746895893
'min_child_weight': 5.0; 'n_estimators': 210.0; 'silent': 1; 'nthread': 6; 'gamma': 0.75; 'max_depth': 9; 'eta': 0.17500000000000002; 'subsample': 0.55; 'num_class': 5; 'colsample_bytree': 0.8; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.5606494746895893
'min_child_weight': 2.0; 'n_estimators': 544.0; 'silent': 1; 'nthread': 6; 'gamma': 0.55; 'max_depth': 13; 'eta': 0.2; 'subsample': 0.7000000000000001; 'num_class': 5; 'colsample_bytree': 0.75; 'eval_metric': 'mlogloss'; 'objective': 'multi:softmax';0.559694364851958
